Product,Size,Lead Time Sales,Safety Stock,Stock On Hand,Order Quantity
Mags Uniform Y13 Skirt Navy (MG019),14,4.885793974002737,4.408075111894981,25,0
Mags Uniform Y13 Skirt Navy (MG019),16,4.495106348309599,3.3735161408923786,27,0
Mags Uniform Y13 Skirt Navy (MG019),18,3.008837565667702,2.7665776566885714,8,0
Mags Uniform Y13 Skirt Navy (MG019),20,1.7899020427105035,1.0498100143844669,10,0
Mags Uniform Y13 Skirt Navy (MG019),22,0.5642172925628262,0.7690058928460303,6,0
Mags Uniform Y13 Skirt Navy (MG019),24,0.31775261707846203,0.5529443267146541,6,0
Mags Uniform Y13 Skirt Navy (MG019),26,0.41152325877253126,0.4329700420991374,5,0
Mags Uniform Y13 Skirt Navy (MG019),30,0.12408110167715433,0.22775922206544008,4,0
Mags Uniform Y13 Skirt Navy (MG019),34,0.0060833057768069,0.1519115327428241,2,0
Mags Uniform Y13 Skirt Navy (MG019),6,2.244082496410143,1.3796007834707311,21,0
Mags Uniform Y13 Skirt Navy (MG019),8,4.026313618904978,4.200696536360227,31,0
Mags Uniform Y13 Skirt Navy (MG019),SPCL,0.0121666115536139,0.31414984532368356,0,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),10,7.0181249167000415,13.081939827280301,67,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),12,7.989431445125096,12.589837010325232,65,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),14,4.833980835127607,6.384943187424182,32,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),16,3.288409911231858,4.638694505593364,22,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),18,2.290553894337753,2.9021631828615924,23,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),20,0.03327604990513361,1.3016922698759963,18,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),22,0.26112585506953667,0.6704362495325523,14,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),24,0.255432669535201,0.605238950819557,5,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),26,0.002385137759952088,0.14555185232944962,16,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),28,0.10105097703334816,0.2037373863621764,6,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),30,0.0,0.39071314493464915,10,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),6,1.148494542007499,2.8517604802654075,13,0
Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),8,5.0578699078714555,7.3615574171475435,38,0
Mags Uniform Yr13 Polo White (MG013),2XL,1.6428079056693174,5.201413589531314,35,0
Mags Uniform Yr13 Polo White (MG013),3XL,1.8824616221225428,1.9010669144695764,21,0
Mags Uniform Yr13 Polo White (MG013),4XL,0.612966575631942,0.7599909212407316,8,0
Mags Uniform Yr13 Polo White (MG013),5XL,0.2577374771126612,0.6217802333613779,7,0
Mags Uniform Yr13 Polo White (MG013),6XL,0.367218547551067,0.4675444549691096,7,0
Mags Uniform Yr13 Polo White (MG013),L,17.84954756860965,24.21999808678172,317,0
Mags Uniform Yr13 Polo White (MG013),M,21.033767894306088,26.97695760431249,371,0
Mags Uniform Yr13 Polo White (MG013),S,9.548802963729099,11.39719345228084,137,0
Mags Uniform Yr13 Polo White (MG013),XL,7.654178280089842,14.182413934091144,128,0
Mags Uniform Yr13 Polo White (MG013),XS,2.501775253465349,2.6300200117041994,45,0
WHHS Bucket Hats,L/XL,0.0,0.7709755278981254,3,0
WHHS Bucket Hats,M/L,0.0,0.43302333603239324,15,0
WHHS Caps,0,0.0,1.7155964900527712,13,0
WHHS Contrast Jacket,12,0.03539833121818173,0.5031724457203454,0,1
WHHS Contrast Jacket,14,1.3539560776605688,2.3540061068265254,4,0
WHHS Contrast Jacket,16,5.3676084854917,6.05519055224305,0,11
WHHS Contrast Jacket,2XL,2.179615497081778,3.9409864029409527,26,0
WHHS Contrast Jacket,3XL,0.7846585386039752,2.2899446505184637,30,0
WHHS Contrast Jacket,4XL,0.0,1.658256306839244,12,0
WHHS Contrast Jacket,5XL,0.0,0.4644037188648139,14,0
WHHS Contrast Jacket,6XL,0.04228486517640982,0.8628744977532332,5,0
WHHS Contrast Jacket,7XL,0.14846022964439498,0.2123097543722356,2,0
WHHS Contrast Jacket,L,3.4376537229021364,9.453461858208485,56,0
WHHS Contrast Jacket,M,5.539352976097955,12.368410495909202,73,0
WHHS Contrast Jacket,S,9.267145944945234,10.727684454407447,17,3
WHHS Contrast Jacket,XL,1.2369912399994742,6.822302565317569,61,0
WHHS Height Scarf,ONE SIZE,28.631750302850115,9.022310550281793,67,0
WHHS JNR Boys Shorts,100,0.0,0.684989868391112,32,0
WHHS JNR Boys Shorts,104,1.2871637580064017,0.9054077303573483,21,0
WHHS JNR Boys Shorts,108,0.08583909814784066,1.165685946797058,13,0
WHHS JNR Boys Shorts,112,0.11988410564428754,0.5401512177925131,8,0
WHHS JNR Boys Shorts,116,0.0035211902152931574,0.5694208947298004,9,0
WHHS JNR Boys Shorts,120,0.0,0.4438565436226493,11,0
WHHS JNR Boys Shorts,124,0.274683973980149,0.48161675299136775,6,0
WHHS JNR Boys Shorts,128,0.0,0.008175855774776397,5,0
WHHS JNR Boys Shorts,64,0.0,0.97257729535447,12,0
WHHS JNR Boys Shorts,68,0.5261962153727888,2.0598736432403246,18,0
WHHS JNR Boys Shorts,72,0.22526548425014603,1.309261386351093,18,0
WHHS JNR Boys Shorts,76,0.0,1.9209839733326686,31,0
WHHS JNR Boys Shorts,80,1.7659165704102335,2.8114724233177513,59,0
WHHS JNR Boys Shorts,84,2.4123003383097665,3.8281677071534683,64,0
WHHS JNR Boys Shorts,88,0.44182972938701565,2.120971559808284,36,0
WHHS JNR Boys Shorts,92,0.0008221763831985,1.5932439475510618,26,0
WHHS JNR Boys Shorts,96,0.07466172680322458,1.3444492521551303,19,0
WHHS JNR Boys Trousers,100,0.0,0.2179084219080458,3,0
WHHS JNR Boys Trousers,104,0.4367727300509332,0.44365783963709304,5,0
WHHS JNR Boys Trousers,108,0.3246089743284264,0.7473087594877845,13,0
WHHS JNR Boys Trousers,112,0.0,0.22452629467973834,4,0
WHHS JNR Boys Trousers,116,0.031677376779396034,0.14774764313069058,2,0
WHHS JNR Boys Trousers,120,0.2558268094256252,0.20722802859653774,5,0
WHHS JNR Boys Trousers,68,1.5557381247068225,1.0360088962931604,11,0
WHHS JNR Boys Trousers,72,0.45359039334414464,1.2983420475836769,29,0
WHHS JNR Boys Trousers,76,4.879923850565216,1.7332116087204255,29,0
WHHS JNR Boys Trousers,80,1.9290370611348422,1.5170771492676964,30,0
WHHS JNR Boys Trousers,84,1.272251893760382,1.0307673976249976,25,0
WHHS JNR Boys Trousers,88,0.9884025123699693,0.591308557991676,14,0
WHHS JNR Boys Trousers,92,0.20138338909052372,0.6647683360201438,9,0
WHHS JNR Boys Trousers,96,0.46124156126865284,0.8805906028647684,16,0
WHHS JNR Girls Shorts,102,0.0,0.906641466020238,11,0
WHHS JNR Girls Shorts,107,0.0,0.1291641286986826,5,0
WHHS JNR Girls Shorts,112,0.044236697401522376,0.3411853236926805,6,0
WHHS JNR Girls Shorts,117,0.0155824498871762,0.3630415587257873,6,0
WHHS JNR Girls Shorts,122,0.20473325438750392,0.6041550448702708,7,0
WHHS JNR Girls Shorts,127,0.367218547551067,0.4443883118284617,6,0
WHHS JNR Girls Shorts,56,0.0,0.19483262821152886,11,0
WHHS JNR Girls Shorts,57,0.038240020493865066,0.18032202910803843,0,0
WHHS JNR Girls Shorts,62,0.057846325074549405,2.157452187575401,10,0
WHHS JNR Girls Shorts,67,0.9516535545286268,3.971983828802226,9,0
WHHS JNR Girls Shorts,72,0.0043266737053735,3.362969288296171,16,0
WHHS JNR Girls Shorts,77,0.0,1.4865448984472664,10,0
WHHS JNR Girls Shorts,82,0.1903434256011895,1.686005086768746,1,1
WHHS JNR Girls Shorts,87,0.0,1.177438215030263,4,0
WHHS JNR Girls Shorts,92,0.1835965722713468,0.7448885951861931,4,0
WHHS JNR Girls Shorts,97,1.9316184459324959,1.1850542811806035,6,0
WHHS Jnr Long Skirt,102cm,0.0,0.09451756120978945,0,0
WHHS Jnr Long Skirt,107cm,0.0,0.1266342481606158,0,0
WHHS Jnr Long Skirt,57cm,0.0,0.15328090712545778,0,0
WHHS Jnr Long Skirt,72cm,0.0,0.11486193020071456,0,0
WHHS Jnr Long Skirt,77cm,0.0,0.16368271294030975,0,0
WHHS Jnr Long Skirt,87cm,0.0005993654478059,0.2875907918035073,0,0
WHHS Jnr Long Skirt,97cm,0.0,0.4512807021086352,0,0
WHHS Jnr Short Skirt,102,0.12197510281728,0.565631103297288,23,0
