Product,Size,MAE,RMSE,Baseline_MAE,Holdout_Mean_Sales
Mags Uniform Polo Jnr Grey/Navy (MG012),XS,23.375032127984667,32.59321608518042,5.333333333333333,18.166666666666668
Mags Uniform Shorts (MG020),100,3.4426468607469456,4.630813319240297,1.0,2.1666666666666665
Mags Uniform Shorts (MG020),104,2.3352052244844996,3.094716512332656,0.8333333333333334,1.1666666666666667
Mags Uniform Shorts (MG020),108,0.7480829447643306,0.8462439691010132,0.8333333333333334,0.5
Mags Uniform Shorts (MG020),112,2.2715625702153344,2.8743233178006737,1.0,0.6666666666666666
Mags Uniform Shorts (MG020),116,0.2739351672099557,0.47527791277696024,0.3333333333333333,0.0
Mags Uniform Shorts (MG020),120,1.279767572620032,2.0040165367157474,0.16666666666666666,0.8333333333333334
Mags Uniform Shorts (MG020),124,0.43498186880076045,0.7598191231105289,0.5,0.3333333333333333
Mags Uniform Shorts (MG020),128,1.0099824925971235,1.32873591433245,0.6666666666666666,0.16666666666666666
Mags Uniform Shorts (MG020),60,0.7337750859692423,0.9672525796516998,0.0,0.5
Mags Uniform Shorts (MG020),64,4.779825690380273,6.3316477591645,2.0,2.8333333333333335
Mags Uniform Shorts (MG020),68,11.269793741198328,14.827674280776652,5.0,5.833333333333333
Mags Uniform Shorts (MG020),72,21.5699297364951,27.52856038824932,9.0,11.166666666666666
Mags Uniform Shorts (MG020),76,22.115613650718434,30.981499312583626,7.166666666666667,15.166666666666666
Mags Uniform Shorts (MG020),80,19.92366228184539,26.97429452221563,3.3333333333333335,13.0
Mags Uniform Shorts (MG020),84,12.432450702252105,16.409897001867037,3.5,7.333333333333333
Mags Uniform Shorts (MG020),88,11.394281431666558,13.690549845157022,4.166666666666667,4.833333333333333
Mags Uniform Shorts (MG020),92,4.000848450999238,5.249309578230031,2.5,2.6666666666666665
Mags Uniform Shorts (MG020),96,4.338798759994685,5.408360317774101,1.3333333333333333,2.1666666666666665
Mags Uniform Tartan Skirt Tartan (MG018),10,16.155800588914346,18.337965327080624,7.0,8.833333333333334
Mags Uniform Tartan Skirt Tartan (MG018),12,13.459549081536855,20.963468969826906,7.333333333333333,11.833333333333334
Mags Uniform Tartan Skirt Tartan (MG018),14,7.136693845779401,10.39081555989495,3.1666666666666665,7.0
Mags Uniform Tartan Skirt Tartan (MG018),16,5.654846872921638,7.86025331779008,2.1666666666666665,4.166666666666667
Mags Uniform Tartan Skirt Tartan (MG018),18,2.3408390847976377,2.6855362447148856,0.8333333333333334,1.1666666666666667
Mags Uniform Tartan Skirt Tartan (MG018),20,1.2508860355522855,1.8334628573795062,0.3333333333333333,1.0
Mags Uniform Tartan Skirt Tartan (MG018),22,1.0678567391333382,1.582911966610627,1.1666666666666667,0.6666666666666666
Mags Uniform Tartan Skirt Tartan (MG018),24,0.5537188065799875,0.5918484029411379,0.8333333333333334,0.3333333333333333
Mags Uniform Tartan Skirt Tartan (MG018),26,0.29459092991175145,0.46947329010699523,0.3333333333333333,0.16666666666666666
Mags Uniform Tartan Skirt Tartan (MG018),28,0.23977915950668605,0.3496021083414093,0.3333333333333333,0.0
Mags Uniform Tartan Skirt Tartan (MG018),30,0.19497570955065482,0.21024992998976344,0.0,0.0
Mags Uniform Tartan Skirt Tartan (MG018),32,0.14548186092860194,0.17279479741015774,0.0,0.0
Mags Uniform Tartan Skirt Tartan (MG018),6,3.8804138588255266,5.4088075432951515,2.1666666666666665,4.0
Mags Uniform Tartan Skirt Tartan (MG018),8,15.346646928832222,20.356460349534828,5.166666666666667,10.333333333333334
Mags Uniform Tie Navy (MG004),Each,16.648754821235396,18.16282706343351,11.333333333333334,10.5
Mags Uniform Trousers Black (MG022),100,6.596881904820542,9.487520388977371,3.3333333333333335,7.666666666666667
Mags Uniform Trousers Black (MG022),104,5.1066804042674905,6.946079270646832,1.6666666666666667,4.333333333333333
Mags Uniform Trousers Black (MG022),108,3.286819014871554,4.342990394258782,1.3333333333333333,2.1666666666666665
Mags Uniform Trousers Black (MG022),112,2.0112231835028296,2.6221440315138076,0.8333333333333334,1.1666666666666667
