Category,Product,Code,Size,Stock On Hand,Lead Time (Weeks)
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -3XL,3XL,21,5
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -4XL,4XL,8,5
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -5XL,5XL,7,5
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -6XL,6XL,7,5
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -L,L,317,5
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -M,M,371,5
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -S,S,137,5
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -XL,XL,128,5
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -XS,XS,45,5
Western Heights High,WHHS Bucket Hats,USL BKHAT 4223 WHHS -L/XL,L/XL,3,2
Western Heights High,WHHS Bucket Hats,USL BKHAT 4223 WHHS -M/L,M/L,15,2
Western Heights High,WHHS Caps,USL CAP 4079 WHHS,0,13,2
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -2XL,2XL,26,6
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -3XL,3XL,30,6
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -4XL,4XL,12,6
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -5XL,5XL,14,6
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -6XL,6XL,5,6
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -7XL,7XL,2,6
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -L,L,56,6
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -M,M,73,6
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -S,S,17,6
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -XL,XL,61,6
Western Heights High,WHHS Contrast Jacket,JKT 704K CL WHHS -14,14,4,6
Western Heights High,WHHS Contrast Jacket,JKT 704K CL WHHS -16,16,0,6
Western Heights High,WHHS Contrast Jacket,JKT 704K CL WHHS-12,12,0,6
Western Heights High,WHHS Height Scarf,USL SCF WHHS -ONE SIZE,ONE SIZE,67,8
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -100,100,32,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -104,104,21,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -108,108,13,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -112,112,8,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -116,116,9,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -120,120,11,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -124,124,6,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -128,128,5,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -64,64,12,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -68,68,18,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -72,72,18,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -76,76,31,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -80,80,59,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -84,84,64,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -88,88,36,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -92,92,26,5
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -96,96,19,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -100,100,3,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -104,104,5,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -108,108,13,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -112,112,4,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -116,116,2,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -120,120,5,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -68,68,11,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -72,72,29,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -76,76,29,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -80,80,30,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -84,84,25,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -88,88,14,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -92,92,9,5
Western Heights High,WHHS JNR Boys Trousers,PT 11 WHHS -96,96,16,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -102,102,11,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -107,107,5,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -112,112,6,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -117,117,6,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -122,122,7,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -127,127,6,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -56,56,11,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -57,57,0,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -62,62,10,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -67,67,9,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -72,72,16,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -77,77,10,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -82,82,1,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -87,87,4,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -92,92,4,5
Western Heights High,WHHS JNR Girls Shorts,DSH 002 WHHS -97,97,6,5
Western Heights High,WHHS Jnr Long Skirt,SK 196L WHHS-102cm,102cm,0,5
Western Heights High,WHHS Jnr Long Skirt,SK 196L WHHS-107cm,107cm,0,5
Western Heights High,WHHS Jnr Long Skirt,SK 196L WHHS-57cm,57cm,0,5
